Emp	Anio	emp	Rubro	NetIncome	TotalAssets	TotalLiabilities	TotalEquity	 anualTotalRevenue	TotalOperatingExpense_Total	TotalCurrentAssets	TotalCurrentLiabilities	TotalCurrentAssetslessInvento	CostofRevenue_Total	GrossProfit_Total	SA&G_Total	OperatingIncome_total
CAMU	2013	CAMU2013	ENE	-9.29	709.30	310.86	398.43	529.54	507.35	175.25	232.13	171.48	370.78	158.75	137.86	22.13
CAMU	2014	CAMU2014	ENE	-51.27	1082.00	592.19	489.73	1018.72	1131.85	258.89	516.59	256.12	869.96	148.92	265.52	-113.13
CAMU	2015	CAMU2015	ENE	22.00	1860.80	1150.10	710.80	1616.60	1427.50	750.80	827.30	738.80	1408.40	208.40	443.90	189.20
CARB	2012	CARB2012	ENE	2.27	127.99	69.61	58.38	249.35	233.81	60.06	53.11	36.12	203.68	45.71	28.99	15.49
CARB	2013	CARB2013	ENE	-3.60	196.60	140.28	56.26	367.85	381.37	101.14	117.14	66.40	329.22	38.63	49.45	-13.57
CARB	2014	CARB2014	ENE	-7.98	344.21	263.63	80.66	676.25	685.73	174.12	228.63	84.06	593.14	83.11	89.75	-9.48
CARB	2015	CARB2015	ENE	-36.10	513.90	463.20	50.70	817.80	841.10	240.40	352.30	130.70	714.90	102.90	119.90	-23.30
CASA	2012	CASA2012	AGRO	4.73	156.89	51.98	104.86	38.28	41.30	87.60	16.54	13.45	38.37	-0.08	2.45	-3.02
CASA	2013	CASA2013	AGRO	22.41	231.74	60.71	171.03	23.11	28.58	114.66	35.87	35.14	23.30	-0.19	4.79	-5.47
CASA	2014	CASA2014	AGRO	-12.02	391.85	105.47	286.38	44.09	53.25	138.73	73.47	72.84	44.93	-0.84	11.32	-9.16
CASA	2015	CASA2015	AGRO	57.64	600.60	104.30	496.30	39.07	60.98	100.50	64.20	80.90	40.21	-1.15	18.72	-21.92
CELU	2012	CELU2012	MOA	0.82	833.00	579.20	253.75	731.14	649.17	289.24	365.75	146.80	579.29	151.75	93.46	82.01
CELU	2013	CELU2013	MOA	-12.61	1313.90	865.01	448.89	1053.61	972.80	377.99	522.95	238.78	842.37	211.13	138.71	80.81
CELU	2014	CELU2014	MOA	34.84	2332.99	1576.24	756.75	1952.68	1632.49	717.73	1024.25	444.94	1512.32	440.27	242.93	320.11
CELU	2015	CELU2015	MOA	53.50	3777.50	2680.10	1097.40	3194.10	2801.20	1241.70	1674.90	776.60	2494.40	699.70	364.50	393.00
CEPU	2012	CEPU2012	ENE	-9.40	700.38	204.37	496.01	808.37	743.18	111.09	93.87	102.86	645.08	163.20	106.18	65.20
CEPU	2013	CEPU2013	ENE	-82.56	951.23	279.55	671.68	1269.19	1113.87	167.26	134.43	156.56	987.83	281.35	163.03	155.26
CEPU	2014	CEPU2014	ENE	17.70	4977.64	2248.70	2728.95	2385.05	2063.20	1653.34	777.37	1614.79	1877.07	507.90	280.38	321.93
CEPU	2015	CEPU2015	ENE	-264.60	9558.00	4897.00	4661.00	3894.60	3263.50	3640.20	2416.90	3557.60	2977.60	917.00	436.90	631.20
CLAR	2012	CLAR2012	COM	75.83	5453.98	3595.70	1858.28	5142.71	4279.27	1681.08	1435.74	1525.24	2956.98	2185.73	1322.33	863.40
CLAR	2013	CLAR2013	COM	119.61	8101.02	5437.29	2663.74	7940.64	6730.07	2744.27	2508.87	2592.78	4583.71	3357.04	2146.36	1210.56
CLAR	2014	CLAR2014	COM	282.19	13691.74	9360.09	4331.65	15570.87	12731.00	5029.23	4776.43	4814.35	8695.85	6875.02	3965.63	2839.86
CLAR	2015	CLAR2015	COM	140.70	24701.00	17468.00	7233.00	27791.60	21226.20	8455.00	9575.00	7964.00	13908.00	13883.50	7172.00	6565.20
COLO	2012	COLO2012	MOI	2.50	65.74	49.98	15.77	107.77	105.91	54.48	36.98	37.12	70.33	37.44	31.40	1.86
COLO	2013	COLO2013	MOI	2.76	105.93	87.80	18.13	183.20	180.15	90.72	85.09	65.44	119.05	64.26	53.05	3.10
COLO	2014	COLO2014	MOI	5.85	178.86	154.21	24.65	334.02	318.77	152.47	135.33	107.20	212.04	121.98	91.01	15.09
COLO	2015	COLO2015	MOI	-5.50	291.50	201.00	90.50	562.90	536.70	254.80	186.50	194.20	342.60	220.40	155.70	26.20
COME	2012	COME2012	ENE	15.40	483.43	169.24	314.18	413.41	33.44	207.50	85.87	201.00	325.09	88.33	59.97	379.97
COME	2013	COME2013	ENE	15.66	629.50	175.25	454.24	480.04	492.88	217.66	76.48	208.76	410.32	69.78	66.90	-12.78
COME	2014	COME2014	ENE	112.02	1208.72	364.35	844.37	1095.91	1015.64	239.30	203.74	204.06	860.72	235.27	156.90	80.34
COME	2015	COME2015	ENE	140.10	3556.50	2157.70	1398.80	2068.50	1624.30	950.10	894.20	592.00	1571.50	497.00	392.80	444.20
CRES	2012	CRES2012	AGRO	-10.90	4691.13	3528.46	1162.67	1299.43	1005.47	810.56	916.87	695.15	1119.51	179.47	230.81	293.96
CRES	2013	CRES2013	AGRO	-62.51	6989.35	5588.21	1401.14	1981.75	1358.34	1851.66	1500.82	1709.75	1751.98	229.77	342.96	622.29
CRES	2014	CRES2014	AGRO	-311.27	12469.59	10932.22	1537.37	3617.48	2683.68	3940.59	3792.07	3592.98	3074.74	541.95	691.26	933.01
CRES	2015	CRES2015	AGRO	602.00	15897.00	13941.00	1956.00	5633.00	2844.00	4212.00	4473.00	3701.00	4733.00	899.00	1077.00	2789.00
DYCA	2012	DYCA2012	COM	11.77	246.44	179.51	66.93	301.91	314.36	211.45	135.26	187.37	295.69	6.22	22.54	-12.45
DYCA	2013	DYCA2013	COM	21.29	376.02	286.31	89.65	540.52	533.42	336.43	242.83	320.72	496.20	44.32	33.96	7.15
DYCA	2014	DYCA2014	COM	5.29	603.97	442.88	161.00	761.26	761.34	509.09	378.73	479.70	678.23	82.95	76.39	0.00
DYCA	2015	DYCA2015	COM	1.90	865.50	655.00	210.50	1219.90	1178.20	748.70	586.50	730.50	1051.40	168.60	122.40	41.80
EDEN	2012	EDEN2012	ENE	-176.97	3122.27	2932.36	189.92	1352.23	1728.61	572.93	965.49	534.31	790.65	561.57	372.02	-376.43
EDEN	2013	EDEN2013	ENE	-10.87	4087.40	3425.12	662.27	1937.66	1197.27	1052.54	1848.85	1005.24	1154.64	783.01	818.44	740.33
EDEN	2014	EDEN2014	ENE	524.57	6817.82	6513.67	304.16	2842.87	3042.66	1296.41	3423.13	1237.95	1483.73	1359.14	1960.50	-199.87
EDEN	2015	EDEN2015	ENE	203.60	12981.00	11456.00	1525.00	3802.20	1560.50	3867.00	5678.00	3732.00	2022.00	1780.20	3338.80	2241.60
ERAR	2012	ERAR2012	MOI	-68.06	7883.83	2557.97	5325.86	5601.64	5112.72	2441.66	1801.94	833.27	4516.25	1085.34	581.06	488.97
ERAR	2013	ERAR2013	MOI	446.02	11665.81	3441.46	8224.35	8986.25	7255.84	3407.67	2495.91	1128.57	6302.52	2683.67	956.58	1730.41
ERAR	2014	ERAR2014	MOI	493.76	19026.70	4567.86	14458.84	16941.07	13035.08	6201.61	3754.15	2016.12	11572.05	5368.94	1857.17	3905.91
ERAR	2015	ERAR2015	MOI	155.00	30588.00	6933.00	23655.00	23562.90	20202.30	9617.00	6207.00	4265.00	17515.60	6047.20	2668.30	3360.50
FERR	2012	FERR2012	MOI	4.00	203.73	58.16	145.57	295.83	266.43	127.90	47.75	56.84	193.92	101.91	67.65	29.44
FERR	2013	FERR2013	MOI	6.59	324.77	116.40	208.37	479.92	426.87	209.95	93.20	106.61	306.02	173.90	112.63	53.05
FERR	2014	FERR2014	MOI	22.67	606.65	227.37	379.29	890.35	756.20	410.89	187.87	182.41	540.92	349.42	213.62	134.14
FERR	2015	FERR2015	MOI	39.60	989.70	366.00	623.80	1471.80	1227.70	714.00	324.50	355.90	872.10	599.90	346.10	244.20
FIPL	2012	FIPL2012	MOI	0.23	74.19	32.08	42.16	95.87	86.24	35.89	24.35	25.99	73.51	22.35	12.40	9.77
FIPL	2013	FIPL2013	MOI	-0.28	106.94	49.90	56.99	135.95	125.53	58.12	34.18	37.45	106.10	29.90	18.58	10.42
FIPL	2014	FIPL2014	MOI	-2.61	166.14	81.77	84.37	221.60	210.14	96.30	61.46	60.59	183.84	37.68	29.15	11.30
FIPL	2015	FIPL2015	MOI	2.60	251.80	145.50	106.30	345.00	334.10	158.30	118.20	105.90	289.90	55.10	44.90	11.00
GARO	2012	GARO2012	AGRO	3.63	69.79	47.98	21.81	173.56	146.84	60.25	37.21	47.89	113.54	60.02	18.63	26.62
GARO	2013	GARO2013	AGRO	-0.23	109.37	78.95	30.47	242.38	212.09	89.20	62.00	66.00	162.25	80.08	49.50	30.24
GARO	2014	GARO2014	AGRO	27.18	268.60	182.41	86.19	471.16	384.50	201.22	134.07	144.26	286.54	184.55	97.49	86.66
GARO	2015	GARO2015	AGRO	24.10	416.80	266.40	150.40	753.60	605.30	315.20	190.00	263.00	453.10	300.40	151.50	148.30
GASB	2012	GASB2012	ENE	-1.86	618.87	315.77	303.14	388.38	380.11	127.67	251.30	126.85	277.65	110.72	106.86	8.31
GASB	2013	GASB2013	ENE	-4.45	843.22	447.82	395.39	588.84	550.09	213.94	363.80	213.21	387.40	201.44	171.71	38.80
GASB	2014	GASB2014	ENE	-47.56	1451.49	941.46	510.11	1269.87	1339.00	496.84	840.50	492.34	1019.28	250.59	331.41	-69.13
GASB	2015	GASB2015	ENE	76.80	2695.80	1836.20	859.60	1978.00	1700.30	1305.30	1505.70	1293.70	1725.00	253.00	456.90	277.60
GCOE	2012	GCOE2012	COM	3.09	247.62	125.90	121.72	213.63	172.70	60.93	64.02	58.47	137.89	75.69	34.80	40.98
GCOE	2013	GCOE2013	COM	8.73	343.86	179.53	164.33	314.92	273.02	92.98	93.77	89.37	217.21	97.60	52.43	41.90
GCOE	2014	GCOE2014	COM	-3.32	472.11	265.60	206.51	502.77	491.70	156.50	136.91	145.84	394.38	108.31	91.96	11.06
GCOE	2015	GCOE2015	COM	26.00	639.10	386.50	252.60	812.10	778.20	289.20	230.30	274.10	622.70	189.40	146.90	33.80
GRIM	2012	GRIM2012	MOA	6.54	186.06	141.48	44.57	406.82	365.34	147.94	120.27	74.01	213.18	193.64	149.30	41.48
GRIM	2013	GRIM2013	MOA	7.72	295.49	223.29	72.20	638.68	556.74	245.65	166.30	138.48	316.61	322.13	239.40	82.00
GRIM	2014	GRIM2014	MOA	19.28	635.65	476.46	159.19	1264.73	1056.64	556.57	408.04	300.44	657.69	607.05	389.56	208.09
GRIM	2015	GRIM2015	MOA	61.30	1155.60	787.80	367.80	2402.60	1980.80	1025.80	702.50	600.00	1265.10	1137.50	699.70	422.00
HOLC	2012	HOLC2012	MOI	-21.31	1052.77	494.87	557.89	921.32	886.75	274.29	291.46	193.42	640.67	280.65	234.99	34.58
HOLC	2013	HOLC2013	MOI	15.32	1450.13	741.28	708.85	1414.99	1354.06	431.83	557.36	292.62	875.82	539.00	397.76	60.93
HOLC	2014	HOLC2014	MOI	28.60	2307.39	1265.44	1041.87	2434.74	2256.36	781.72	1102.54	476.30	1537.13	897.69	692.05	178.39
HOLC	2015	HOLC2015	MOI	-79.30	3589.50	2262.50	1327.00	4283.60	3697.80	1444.70	2007.40	923.30	2504.10	1779.50	1184.00	585.90
INDU	2012	INDU2012	MOI	-125.81	1501.80	971.80	530.00	1461.00	1522.88	460.48	630.36	340.85	1329.28	131.76	141.35	-61.79
INDU	2013	INDU2013	MOI	-25.06	2205.78	1551.27	654.56	2512.92	2418.99	720.05	1098.66	482.01	2116.85	396.07	225.54	93.88
INDU	2014	INDU2014	MOI	-99.54	3418.87	2560.67	858.27	4538.47	4335.20	1119.21	2261.10	750.59	3920.45	618.11	427.40	203.27
INDU	2015	INDU2015	MOI	-308.30	4374.60	3742.70	631.90	5440.60	5537.80	1479.20	3376.90	970.20	4633.40	807.30	794.00	-97.20
INTR	2012	INTR2012	MOA	1.82	57.20	15.90	41.30	86.73	77.97	37.03	13.45	37.03	43.34	43.48	34.03	8.77
INTR	2013	INTR2013	MOA	2.76	90.11	30.13	59.98	136.17	121.75	63.52	26.75	43.25	68.71	67.41	51.81	14.30
INTR	2014	INTR2014	MOA	2.77	145.52	47.32	98.20	242.14	222.63	94.17	42.11	59.41	123.48	118.66	97.41	19.43
INTR	2015	INTR2015	MOA	3.70	244.60	94.20	150.40	444.30	404.90	186.00	88.40	113.40	221.90	222.40	178.90	39.40
INVE	2012	INVE2012	AGRO	-1.95	360.89	130.72	230.17	233.94	232.90	107.09	113.27	87.60	208.95	24.94	23.72	1.04
INVE	2013	INVE2013	AGRO	-14.47	455.20	208.48	246.78	286.70	319.87	137.02	108.46	52.54	287.77	-1.07	36.04	-33.11
INVE	2014	INVE2014	AGRO	1.19	1967.53	740.88	1226.66	608.78	627.67	298.39	209.51	104.68	521.09	87.69	65.10	-18.88
INVE	2015	INVE2015	AGRO	17.60	2814.20	1076.00	1738.20	1002.60	1014.90	616.30	393.40	212.40	915.70	87.00	129.70	-12.20
IRSA	2012	IRSA2012	COM	32.39	1137.68	763.30	374.38	621.27	337.03	249.44	253.53	244.89	282.38	338.85	43.94	284.28
IRSA	2013	IRSA2013	COM	47.47	1720.45	1242.33	478.12	922.11	515.74	540.63	509.66	535.00	422.82	499.30	71.46	406.43
IRSA	2014	IRSA2014	COM	69.21	2761.89	2119.61	642.28	1650.10	902.04	1013.59	883.24	1005.69	740.88	909.23	139.20	748.14
IRSA	2015	IRSA2015	COM	139.90	6345.00	5386.00	958.00	2758.00	1409.70	1424.00	1515.00	1409.00	1186.50	1571.60	250.40	1348.50
IRSI	2012	IRSI2012	COM	12.27	2999.14	1937.79	1060.90	813.74	469.79	437.54	581.56	377.56	390.28	423.00	116.31	343.49
IRSI	2013	IRSI2013	COM	-46.18	4689.41	3142.98	1546.43	1231.63	625.67	1035.65	903.87	1026.64	645.38	586.25	132.91	605.96
IRSI	2014	IRSI2014	COM	-334.18	7750.04	6163.69	1586.35	2239.69	1263.23	2337.65	1911.04	2324.22	1127.35	1112.34	282.04	975.67
IRSI	2015	IRSI2015	COM	765.00	10243.00	7769.00	2474.00	3404.00	888.00	1897.00	2690.00	1874.00	1570.00	1834.00	506.00	2516.00
LEDE	2012	LEDE2012	MOA	18.45	1421.20	744.95	676.25	1654.82	1434.78	774.34	592.20	365.07	1052.72	602.06	374.70	220.04
LEDE	2013	LEDE2013	MOA	27.88	1934.05	1102.66	831.39	2280.17	2071.80	1098.95	762.74	542.43	1434.02	846.09	597.85	208.42
LEDE	2014	LEDE2014	MOA	79.32	3203.74	1954.57	1249.17	3686.60	3331.81	1927.00	1508.85	1001.98	2228.63	1457.81	1031.76	354.72
LEDE	2015	LEDE2015	MOA	39.20	5406.50	3903.20	1503.30	5809.10	5230.80	3701.50	1831.90	1973.60	3632.90	2176.20	1739.10	578.50
METR	2012	METR2012	ENE	-16.49	1008.88	933.32	75.56	673.07	712.28	196.46	255.71	196.46	541.72	131.35	167.88	-39.21
METR	2013	METR2013	ENE	-84.64	1320.60	1083.40	237.20	1096.47	1057.33	272.79	371.80	272.79	818.49	277.97	285.18	39.08
METR	2014	METR2014	ENE	-218.91	2216.15	2382.21	-166.06	2515.72	2587.06	660.85	1076.79	660.85	2045.74	469.98	414.13	-71.26
METR	2015	METR2015	ENE	-547.70	4025.50	4800.60	-775.10	4627.30	3973.00	1857.60	2126.60	1857.60	3753.80	873.50	695.60	654.30
MIRG	2012	MIRG2012	MOI	37.53	676.75	474.11	202.64	1837.79	1750.05	587.47	435.95	390.56	1586.99	250.80	141.53	87.69
MIRG	2013	MIRG2013	MOI	55.36	1308.16	944.81	363.35	2750.29	2594.64	1124.51	881.45	739.48	2286.14	464.15	230.67	155.66
MIRG	2014	MIRG2014	MOI	70.15	2474.56	1856.69	617.87	4833.47	4682.89	2032.31	1839.31	1605.47	4132.64	700.98	392.24	150.66
MIRG	2015	MIRG2015	MOI	460.30	8309.90	7023.50	1286.40	9426.40	9237.10	7322.80	7022.10	5006.40	7553.60	1872.90	697.30	189.40
MOLI	2012	MOLI2012	MOA	-23.17	3304.47	2704.27	600.19	7818.04	7661.43	1978.23	1854.19	1058.17	6901.85	916.24	705.19	156.61
MOLI	2013	MOLI2013	MOA	-112.80	5065.04	4427.55	636.93	11504.86	11304.88	3691.50	3026.97	2502.11	10263.38	1241.54	1073.49	199.98
MOLI	2014	MOLI2014	MOA	39.90	6163.69	4763.00	1399.91	19394.14	18369.81	4195.77	3461.84	2482.22	16376.05	3017.93	1958.45	1024.17
MOLI	2015	MOLI2015	MOA	636.50	10023.00	7244.00	2778.00	25640.00	24259.00	7403.00	6046.00	4696.00	21497.50	4142.60	2898.10	1380.90
MOLS	2012	MOLS2012	MOA	0.36	80.56	24.17	56.38	79.42	73.83	27.94	16.08	19.67	62.84	16.58	10.13	5.59
MOLS	2013	MOLS2013	MOA	3.27	105.99	42.01	63.92	129.41	131.10	42.74	27.71	28.27	102.49	26.92	14.47	-1.75
MOLS	2014	MOLS2014	MOA	2.37	173.25	68.49	104.76	267.26	243.72	87.45	50.17	48.43	211.57	55.62	28.36	23.46
MOLS	2015	MOLS2015	MOA	3.90	219.50	74.30	145.30	383.50	359.00	110.70	56.10	69.70	314.30	69.20	41.60	24.50
MORX	2012	MORX2012	MOA	-5.12	57.75	42.62	15.13	58.28	68.32	20.72	26.26	18.72	51.18	7.09	17.14	-10.05
MORX	2013	MORX2013	MOA	-4.42	69.83	67.24	2.59	73.20	90.11	21.23	46.85	19.09	68.42	4.78	21.51	-16.91
MORX	2014	MORX2014	MOA	-2.33	130.19	127.90	2.21	172.37	177.11	53.88	80.82	36.34	140.36	32.00	36.52	-4.72
MORX	2015	MORX2015	MOA	-10.61	159.50	164.20	-4.70	201.22	218.98	51.00	116.10	35.20	168.08	33.13	50.19	-17.77
PAMP	2012	PAMP2012	ENE	-121.90	5142.75	4324.93	818.28	3042.08	3352.04	966.40	1457.55	917.78	2887.19	154.80	385.10	-310.00
PAMP	2013	PAMP2013	ENE	-55.53	7074.95	5892.88	1182.07	3004.50	2034.18	2003.71	2597.85	2003.71	3155.54	-151.10	629.78	970.26
PAMP	2014	PAMP2014	ENE	575.13	13325.17	11018.33	2306.84	4901.72	4204.53	3478.43	5037.92	3370.99	4670.33	231.40	1157.21	697.19
PAMP	2015	PAMP2015	ENE	2061.80	29150.00	22159.00	6991.00	7138.90	3495.50	9699.00	9582.00	9474.00	6810.50	328.40	2137.20	3643.40
PATA	2012	PATA2012	COM	4.00	977.66	556.76	420.91	3485.43	3370.80	506.10	524.77	183.10	2430.67	1054.81	916.28	114.68
PATA	2013	PATA2013	COM	14.59	1705.75	1076.14	629.61	5515.68	5325.27	943.51	904.71	432.00	3770.28	1745.34	1518.78	190.46
PATA	2014	PATA2014	COM	57.91	3195.61	1983.33	1212.28	10603.73	10030.42	1892.87	1773.90	908.60	7170.25	3433.56	2783.85	573.39
PATA	2015	PATA2015	COM	55.80	5308.30	3353.50	1954.80	18741.70	17888.80	3341.10	3192.60	1548.10	12675.00	6066.60	5114.70	852.90
PECS	2012	PECS2012	ENE	-11.99	136.26	121.31	14.95	566.53	579.52	69.79	112.31	54.25	511.69	54.75	65.97	-12.95
PECS	2013	PECS2013	ENE	-50.52	258.04	323.42	-65.44	979.78	1058.45	144.90	308.50	68.48	956.97	22.92	97.37	-78.73
PECS	2014	PECS2014	ENE	-33.18	243.80	240.72	3.08	842.95	950.70	69.68	212.20	53.40	800.28	42.58	144.41	-107.84
PECS	2015	PECS2015	ENE	-124.10	305.70	365.70	-59.90	400.20	513.00	91.30	328.80	73.50	352.00	48.20	131.80	-112.90
PEPA	2012	PEPA2012	ENE	-2.82	89.73	80.19	9.59	45.07	40.98	28.21	76.74	25.63	31.80	13.31	9.81	4.13
PEPA	2013	PEPA2013	ENE	8.00	315.76	273.98	41.79	90.67	52.94	187.14	127.89	183.48	48.15	42.46	19.43	37.73
PEPA	2014	PEPA2014	ENE	-44.48	1176.57	973.22	203.35	281.88	175.23	583.58	330.07	583.58	158.95	122.85	84.61	106.49
PEPA	2015	PEPA2015	ENE	245.70	3969.80	3360.70	609.20	943.60	458.70	1300.80	1987.80	1300.80	660.00	283.50	264.80	484.80
PESA	2012	PESA2012	ENE	1.82	8563.08	3990.08	4573.00	5799.74	5238.62	2736.99	1972.77	2272.19	4370.36	1429.38	625.18	561.12
PESA	2013	PESA2013	ENE	57.44	11748.59	5575.82	6172.77	8638.84	7878.01	3714.59	2268.40	2976.85	6341.16	2297.68	976.52	760.83
PESA	2014	PESA2014	ENE	-823.19	19301.63	10148.52	9153.11	16383.32	15397.38	7017.70	4657.13	5476.38	11447.31	4936.01	1823.35	985.94
PESA	2015	PESA2015	ENE	-932.00	29097.00	16161.00	12936.00	21955.00	20036.00	10743.00	7061.00	8613.00	15554.00	6401.00	3155.00	1919.00
QUIC	2012	QUIC2012	MOA	-29.35	292.33	147.89	144.44	1155.40	1169.72	170.24	145.35	118.90	1017.96	140.48	154.02	-14.31
QUIC	2013	QUIC2013	MOA	-3.21	537.70	406.71	130.99	1076.53	1102.32	274.82	291.55	154.70	911.41	165.17	181.90	-25.85
QUIC	2014	QUIC2014	MOA	-36.97	1175.78	1053.33	122.45	1921.55	1948.57	678.39	675.30	489.57	1621.74	299.81	290.57	-27.02
QUIC	2015	QUIC2015	MOA	9.40	2042.50	2001.30	41.30	3288.10	3284.90	1201.60	1295.50	886.80	2827.80	460.30	494.30	3.10
RIGO	2012	RIGO2012	MOI	11.63	259.61	105.27	154.34	328.99	270.43	192.46	89.60	135.44	243.58	85.42	25.49	58.57
RIGO	2013	RIGO2013	MOI	8.79	457.17	247.73	209.44	495.64	432.45	231.46	179.82	163.82	382.67	113.03	44.38	63.19
RIGO	2014	RIGO2014	MOI	11.30	754.31	424.08	330.23	890.03	777.37	418.08	383.87	280.14	697.82	192.21	78.37	112.74
RIGO	2015	RIGO2015	MOI	31.90	1235.20	763.40	471.80	1393.80	1188.30	707.30	663.80	397.70	1059.50	334.40	128.70	205.50
SANM	2012	SANM2012	MOA	-1.82	749.72	476.43	273.29	426.50	356.62	351.44	280.56	216.54	314.14	112.36	79.78	69.88
SANM	2013	SANM2013	MOA	19.15	1073.49	666.78	406.71	677.93	466.97	420.00	384.97	243.79	459.37	218.51	125.98	211.02
SANM	2014	SANM2014	MOA	56.25	1873.68	1038.79	834.81	1327.46	866.09	675.94	455.36	377.86	838.28	489.18	212.59	461.37
SANM	2015	SANM2015	MOA	236.50	4177.40	2710.20	1467.20	2316.30	1470.60	1657.60	1478.10	1077.30	1613.60	702.80	400.70	845.70
TECO	2012	TECO2012	COM	360.75	8091.47	3566.62	4524.84	10084.69	8282.75	3174.07	2672.92	2886.47	1851.92	8232.77	4721.57	1801.94
TECO	2013	TECO2013	COM	494.45	13025.84	6390.15	6635.69	15402.36	12858.02	5491.35	5096.58	5056.59	3180.71	12221.65	7188.14	2544.35
TECO	2014	TECO2014	COM	812.92	20790.81	9400.38	11390.43	26377.00	22076.95	5050.56	7186.76	4480.96	5650.97	20726.02	12903.30	4300.05
TECO	2015	TECO2015	COM	646.00	38465.00	21271.00	17194.00	40540.00	34311.00	11492.00	16914.00	9346.00	8021.00	32519.00	20226.00	6229.00
TGDN	2012	TGDN2012	ENE	-36.44	1288.35	807.92	480.38	189.96	218.18	290.01	156.43	281.20	170.24	19.67	58.75	-28.31
TGDN	2013	TGDN2013	ENE	-32.04	1767.13	1155.43	611.70	292.50	-0.39	455.54	224.08	449.01	234.84	57.61	85.99	292.95
TGDN	2014	TGDN2014	ENE	-42.27	2574.81	1919.42	655.40	418.15	205.88	572.37	450.62	560.83	408.20	10.03	150.50	212.28
TGDN	2015	TGDN2015	ENE	-59.40	3875.40	3563.50	311.90	653.40	943.00	745.10	674.20	727.60	729.30	-75.80	209.60	-289.60
TGDS	2012	TGDS2012	ENE	46.03	2522.85	1598.80	924.10	1169.90	851.08	682.66	377.02	658.03	614.14	555.76	235.08	318.86
TGDS	2013	TGDS2013	ENE	33.06	3420.00	2280.68	1139.32	1613.39	1215.52	1015.43	758.97	1011.26	898.41	714.98	314.19	397.93
TGDS	2014	TGDS2014	ENE	21.41	4877.86	3402.51	1475.35	3400.22	2663.53	1547.64	988.94	1524.57	2026.78	1373.44	632.25	736.69
TGDS	2015	TGDS2015	ENE	-161.00	6646.60	4951.10	1695.40	4226.50	3538.40	2230.20	1320.60	2221.80	2760.00	1466.70	432.60	688.30
TRAN	2012	TRAN2012	ENE	-20.04	751.08	529.50	221.59	240.30	303.32	179.60	133.99	179.60	250.53	-10.22	78.01	-63.06
TRAN	2013	TRAN2013	ENE	13.97	1061.72	790.39	271.33	492.09	512.92	300.44	219.24	300.44	440.16	51.87	71.01	-20.84
TRAN	2014	TRAN2014	ENE	82.56	1939.01	1450.07	488.94	1166.77	1003.32	670.80	493.44	670.80	846.97	319.88	137.54	163.37
